id,state,county,rate
1,Alabama,Autauga County,5.1
2,Alabama,Baldwin County,4.9
3,Alabama,Barbour County,8.6
4,Alabama,Bibb County,6.2
5,Alabama,Blount County,5.1
6,Alabama,Bullock County,7.1
7,Alabama,Butler County,6.7
8,Alabama,Calhoun County,6.1
9,Alabama,Chambers County,5
10,Alabama,Cherokee County,5
11,Alabama,Chilton County,5.2
12,Alabama,Choctaw County,7.9
13,Alabama,Clarke County,11.1
14,Alabama,Clay County,5.9
15,Alabama,Cleburne County,5.5
16,Alabama,Coffee County,5.6
17,Alabama,Colbert County,6.5
18,Alabama,Conecuh County,7.7
19,Alabama,Coosa County,5.7
20,Alabama,Covington County,6.7
21,Alabama,Crenshaw County,5.7
22,Alabama,Cullman County,4.8
23,Alabama,Dale County,5.6
24,Alabama,Dallas County,9.5
25,Alabama,DeKalb County,5.7
26,Alabama,Elmore County,4.7
27,Alabama,Escambia County,6.3
28,Alabama,Etowah County,5.7
29,Alabama,Fayette County,6.6
30,Alabama,Franklin County,5.5
31,Alabama,Geneva County,5.4
32,Alabama,Greene County,9.3
33,Alabama,Hale County,7.6
34,Alabama,Henry County,6.3
35,Alabama,Houston County,5.6
36,Alabama,Jackson County,5.9
37,Alabama,Jefferson County,5.5
38,Alabama,Lamar County,5.2
39,Alabama,Lauderdale County,6
40,Alabama,Lawrence County,6.4
41,Alabama,Lee County,4.9
42,Alabama,Limestone County,5
43,Alabama,Lowndes County,10.3
44,Alabama,Macon County,7.2
45,Alabama,Madison County,4.9
46,Alabama,Marengo County,6.9
47,Alabama,Marion County,6.1